Line	Input T	Output V
0	0	0
1	0.0849079	0.0848059
2	0.169816	0.169001
3	0.254724	0.251978
4	0.339632	0.33314
5	0.42454	0.411901
6	0.509447	0.487695
7	0.594355	0.559975
8	0.679263	0.62822
9	0.764171	0.691939
10	0.849079	0.750672
11	0.933987	0.803997
12	1.01889	0.851529
13	1.1038	0.892926
14	1.18871	0.927889
15	1.27362	0.956167
16	1.35853	0.977555
17	1.44343	0.9919
18	1.52834	0.999099
19	1.61325	0.999099
20	1.69816	0.9919
21	1.78307	0.977555
22	1.86797	0.956167
23	1.95288	0.927889
24	2.03779	0.892926
25	2.1227	0.851529
26	2.20761	0.803997
27	2.29251	0.750672
28	2.37742	0.691939
29	2.46233	0.62822
30	2.54724	0.559975
31	2.63215	0.487695
32	2.71705	0.411901
33	2.80196	0.33314
34	2.88687	0.251978
35	2.97178	0.169001
36	3.05668	0.0848059
37	3.14159	-2.09798e-15
38	3.2265	-0.0848059
39	3.31141	-0.169001
40	3.39632	-0.251978
41	3.48122	-0.33314
42	3.56613	-0.411901
43	3.65104	-0.487695
44	3.73595	-0.559975
45	3.82086	-0.62822
46	3.90576	-0.691939
47	3.99067	-0.750672
48	4.07558	-0.803997
49	4.16049	-0.851529
50	4.2454	-0.892926
51	4.3303	-0.927889
52	4.41521	-0.956167
53	4.50012	-0.977555
54	4.58503	-0.9919
55	4.66994	-0.999099
56	4.75484	-0.999099
57	4.83975	-0.9919
58	4.92466	-0.977555
59	5.00957	-0.956167
60	5.09447	-0.927889
61	5.17938	-0.892926
62	5.26429	-0.851529
63	5.3492	-0.803997
64	5.43411	-0.750672
65	5.51901	-0.691939
66	5.60392	-0.62822
67	5.68883	-0.559975
68	5.77374	-0.487695
69	5.85865	-0.411901
70	5.94355	-0.33314
71	6.02846	-0.251978
72	6.11337	-0.169001
73	6.19828	-0.0848059
74	6.28319	8.63685e-15
